summary,start,end,categories,description,zones
Début d'une nouvelle décennie,2000-01-01,,Dates spéciales,Le 1er janvier 2000 ouvre la décennie 2000–2009.,
Jour de l'an,2000-01-01,,Jours fériés,Premier jour de l'année civile grégorienne. La tradition des vœux existe depuis l'Antiquité romaine. Le gui porte-bonheur vient d'une coutume druidique bien antérieure au christianisme.,
Nouvelle Lune,2000-01-06,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Épiphanie,2000-01-06,,Christianisme|Culture|Gastronomie,"Célèbre la visite des Rois Mages à Jésus, 12 jours après Noël.",
Premier Quartier,2000-01-14,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2000-01-21,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée internationale de l'Éducation,2000-01-24,,Éducation|Société,Proclamée par l'ONU en 2019.,
Journée nationale de la Mémoire de la Shoah,2000-01-27,,Mémoire|Société,Commémore la libération du camp d'Auschwitz le 27 janvier 1945.,
Dernier Quartier,2000-01-28,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Chandeleur,2000-02-02,,Culture|Christianisme|Gastronomie,"Fête de la Présentation de Jésus au Temple, 40 jours après Noël.",
Journée mondiale des zones humides,2000-02-02,,Environnement,Commémore la Convention de Ramsar signée le 2 février 1971.,
Journée mondiale contre le cancer,2000-02-04,,Santé,Initiée par l'Union Internationale Contre le Cancer depuis 2000.,
Nouvelle Lune,2000-02-05,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2000-02-13,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Saint-Valentin,2000-02-14,,Fêtes|Culture,Fête des amoureux le 14 février.,
Pleine Lune,2000-02-19,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Salon de l'Agriculture — Ouverture,2000-02-26,,Gastronomie|Agriculture|Culture,Le Salon International de l'Agriculture se tient chaque fin février à Paris.,
Dernier Quartier,2000-02-27,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Jour supplémentaire (année bissextile),2000-02-29,,Dates spéciales,"Une année solaire dure 365,2422 jours. 2000 est l'une des années rares à 366 jours.",
Fête des Grands-Mères,2000-03-05,,Fêtes|Culture,Créée en 1987 par la marque de café Grand'Mère.,
Nouvelle Lune,2000-03-06,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Mardi Gras,2000-03-07,,Christianisme|Culture|Fêtes,"Dernier jour avant le Carême, où la tradition voulait qu'on fasse bombance avant l'abstinence.",
Début du Carême,2000-03-08,,Christianisme,"Le Carême commence le Mercredi des Cendres, 46 jours avant Pâques.",
Journée internationale des femmes,2000-03-08,,Société,Issue des luttes ouvrières du début du XXe siècle en Europe et aux États-Unis.,
